DMK,Dravida Munnetra Kazhagam,DMK+,,
INC,Indian National Congress,DMK+,,
DMDK,Desiya Murpokku Dravida Kazhagam,DMK+,,
VCK,Viduthalai Chiruthaigal Katchi,DMK+,,
CPI(M),Communist Party of India (Marxist),DMK+,,
CPI,Communist Party of India,DMK+,,
IUML,Indian Union Muslim League,DMK+,,
ADMK,All India Anna Dravida Munnetra Kazhagam,ADMK+,,
BJP,Bharatiya Janata Party,ADMK+,,
PMK,Pattali Makkal Katchi,ADMK+,,
AMMK,Amma Makkal Munnettra Kazagam,ADMK+,,
NTK,Naam Tamilar Katchi,NTK,,
TVK,Tamilaga Vettri Kazhagam,TVK,,